filename,_epoch,train_acc,train_PGD10_acc,val_acc,val_PGD20_acc,test_acc,test_PGD200_acc,test_Auto_acc
_Net_resnet18__C_10__102_KL_2_T_1.0_kl_2_A_0.5_T_1.0_.pth,102,92.152273,67.503180,83.316667,50.415559,83.120000,47.329905,45.174051
_Net_resnet18__C_10__104_KL_1_3_T_1.0_kl_1_3_A_0.5_T_1.0_.pth,104,95.895455,65.949764,85.166667,49.002660,84.410000,47.171677,45.688291
_Net_resnet18__C_10__103_KL_2_3_T_1.0_kl_2_3_A_0.5_T_1.0_.pth,103,90.584091,70.587300,81.433333,51.894947,81.340000,50.039557,45.935522
_Net_resnet18__C_10__121_KL_1_2_T_1.0_kl_1_2_A_0.5_T_1.0_.pth,121,96.134091,68.141352,85.266667,47.872340,85.070000,44.907041,42.523734
_Net_resnet18__C_10__103_KL_1_2_3_T_30.0_kl_1_2_3_A_0.5_T_30.0_.pth,103,93.788636,65.447856,86.650000,49.767287,86.020000,47.517801,46.865111
_Net_resnet18__C_10__102_KL_2_T_30.0_kl_2_A_0.5_T_30.0_.pth,102,90.779545,63.880814,84.733333,49.817154,84.480000,48.279272,47.725475
_Net_resnet18__C_10__110_KL_1_3_T_30.0_kl_1_3_A_0.5_T_30.0_.pth,110,95.236364,64.771076,86.183333,48.803191,86.490000,47.339794,46.538766
_Net_resnet18__C_10__127_KL_1_2_T_30.0_kl_1_2_A_0.5_T_30.0_.pth,127,95.054545,62.363735,87.333333,46.326463,86.890000,44.115902,41.871044
_Net_resnet18__C_10__102_KL_1_2_3_T_1.0_kl_1_2_3_A_0.5_T_1.0_.pth,102,96.229545,69.242823,85.166667,49.085771,84.470000,46.558544,44.877373
_Net_resnet18__C_10__105_KL_2_3_T_30.0_kl_2_3_A_0.5_T_30.0_.pth,105,89.434091,64.541697,83.383333,50.199468,83.030000,48.734177,48.269383
